departement,circonscription,communes
52,2,"Aillianville, Aingoulaincourt, Allichamps, Ambonville, Andelot-Blancheville, Annonville, Annéville-la-Prairie, Arnancourt, Attancourt, Autigny-le-Grand, Autigny-le-Petit, Autreville-sur-la-Renne, Bailly-aux-Forges, Baudrecourt, Bayard-sur-Marne, Bettancourt-la-Ferrée, Beurville, Blaisy, Blumeray, Blécourt, Bologne, Bourdons-sur-Rognon, Bouzancourt, Brachay, Briaucourt, Brousseval, Busson, Ceffonds, Cerisières, Chalvraines, Chambroncourt, Chamouilley, Chancenay, Chantraines, Charmes-en-l'Angle, Charmes-la-Grande, Chatonrupt-Sommermont, Chevillon, Cirey-lès-Mareilles, Cirey-sur-Blaise, Cirfontaines-en-Ornois, Colombey-les-Deux-Eglises, Consigny, Courcelles-sur-Blaise, Curel, Curmont, Daillancourt, Darmannes, Domblain, Dommartin-le-Franc, Dommartin-le-Saint-Père, Domremy-Landéville, Donjeux, Doulaincourt-Saucourt, Doulevant-le-Château, Doulevant-le-Petit, Echenay, Eclaron-Braucourt-Sainte-Livière, Ecot-la-Combe, Effincourt, Epizon, Eurville-Bienville, Fays, Ferrière-et-Lafolie, Flammerécourt, Fontaines-sur-Marne, Forcey, Frampas, Froncles, Fronville, Germay, Germisay, Gillancourt, Gillaumé, Gudmont-Villiers, Guindrecourt-aux-Ormes, Guindrecourt-sur-Blaise, Hallignicourt, Humberville, Humbécourt, Joinville, Juzennecourt, La Genevroye, La Porte du Der, Lachapelle-en-Blaisy, Lafauche, Lamancine, Laneuville-au-Pont, Laneuville-à-Rémy, Lavilleneuve-au-roi, Leschères-sur-le-Blaiseron, Leurville, Lezéville, Liffol-le-Petit, Louvemont, Magneux, Maizières, Manois, Maranville, Marbéville, Mareilles, Mathons, Mertrud, Meures, Mirbel, Montheries, Montot-sur-Rognon, Montreuil-sur-Blaise, Montreuil-sur-Thonnance, Morancourt, Morionvilliers, Moëslains, Mussey-sur-Marne, Narcy, Nomécourt, Noncourt-sur-le-Rongeant, Nully, Ormoy-lès-Sexfontaines, Orquevaux, Osne-le-Val, Oudincourt, Pancey, Paroy-sur-Saulx, Perthes, Planrupt, Poissons, Prez-sous-Lafauche, Rachecourt-Suzémont, Rachecourt-sur-Marne, Rennepont, Reynel, Rimaucourt, Rives Dervoises, Rizaucourt-Buchey, Rochefort-sur-la-Côte, Roches-Bettaincourt, Roches-sur-Marne, Rouvroy-sur-Marne, Rouécourt, Rupt, Sailly, Saint-Blin, Saint-Dizier, Saint-Urbain-Maconcourt, Saudron, Semilly, Sexfontaines, Signéville, Sommancourt, Sommevoire, Soncourt-sur-Marne, Suzannecourt, Thilleux, Thonnance-les-Moulins, Thonnance-lès-Joinville, Tremilly, Troisfontaines-la-Ville, Valcourt, Valleret, Vaudrémont, Vaux-sur-Blaise, Vaux-sur-Saint-Urbain, Vecqueville, Vesaignes-sous-Lafauche, Vignes-la-Côte, Vignory, Ville-en-Blaisois, Villiers-en-Lieu, Viéville, Voillecomte, Vouécourt, Vraincourt et Wassy"
53,1,"Argentré, Assé-le-Bérenger, Averton, Bais, Bonchamp-lès-Laval, Boulay-les-Ifs, Brée, Champfrémont, Champgenéteux, Changé, Châlons-du-Maine, Châtres-la-Forêt, Courcité, Crennes-sur-Fraubée, Deux-Evailles, Entrammes, Evron, Forcé, Gesnes, Gesvres, Hambers, Izé, Jublains, La Chapelle-Anthenaise, La Chapelle-Rainsouin, Laval (en partie), Livet, Loupfougères, Louverné, Louvigné, Montflours, Montourtier, Montsûrs-Saint Céneré, Mézangers, Neau, Parné-sur-Roc, Pré-en-Pail-Saint-Samson, Ravigny, Saint-Aubin-du-Désert, Saint-Christophe-du-Luat, Saint-Cyr-en-Pail, Saint-Georges-sur-Erve, Saint-Germain-de-Coulamer, Saint-Germain-le-Fouilloux, Saint-Jean-sur-Mayenne, Saint-Mars-du-Désert, Saint-Martin-de-Connée, Saint-Ouën-des-Vallons, Saint-Pierre-des-Nids, Saint-Pierre-sur-Orthe, Saint-Thomas-de-Courceriers, Sainte-Gemmes-le-Robert, Soulgé-sur-Ouette, Trans, Villaines-la-Juhel, Villepail, Vimarcé et Voutré"
53,2,"Ahuillé, Ampoigné, Argenton-Notre-Dame, Arquenay, Astillé, Athée, Azé, Ballots, Bannes, Bazougers, Beaumont-Pied-de-Boeuf, Bierné, Blandouet-Saint Jean, Bouchamps-lès-Craon, Bouessay, Bouère, Brains-sur-les-Marches, Chemazé, Château-Gontier, Châtelain, Chémeré-le-Roi, Chérancé, Congrier, Cosmes, Cossé-en-Champagne, Cossé-le-Vivien, Coudray, Courbeveille, Craon, Cuillé, Daon, Denazé, Fontaine-Couverte, Fromentières, Gastines, Gennes-sur-Glaize, Grez-en-Bouère, Houssay, L'Huisserie, La Bazouge-de-Chemeré, La Boissière, La Chapelle-Craonnaise, La Cropte, La Rouaudière, La Roë, La Selle-Craonnaise, Laigné, Laubrières, Laval (en partie), Le Bignon-du-Maine, Le Buret, Livré-la-Touche, Loigné-sur-Mayenne, Longuefuye, Maisoncelles-du-Maine, Marigné-Peuton, Meslay-du-Maine, Montigné-le-Brillant, Mée, Ménil, Méral, Niafles, Nuillé-sur-Vicoin, Origné, Peuton, Pommerieux, Préaux, Quelaines-Saint-Gault, Renazé, Ruillé-Froid-Fonds, Saint-Aignan-sur-Roë, Saint-Berthevin, Saint-Brice, Saint-Charles-la-Forêt, Saint-Denis-d'Anjou, Saint-Denis-du-Maine, Saint-Erblon, Saint-Fort, Saint-Georges-le-Fléchard, Saint-Laurent-des-Mortiers, Saint-Loup-du-Dorat, Saint-Léger-en-charnie, Saint-Martin-du-Limet, Saint-Michel-de-Feins, Saint-Michel-de-la-Roë, Saint-Pierre-sur-Erve, Saint-Poix, Saint-Quentin-les-Anges, Saint-Saturnin-du-Limet, Saint-Sulpice, Sainte-Suzanne et Chammes, Saulges, Senonnes, Simplé, Thorigné-en-Charnie, Torcé-Viviers-en-Charnie, Vaiges, Val-du-Maine et Villiers-Charlemagne"
53,3,"Alexain, Ambrières-les-Vallées, Andouillé, Aron, Beaulieu-sur-Oudon, Belgeard, Bourgon, Brecé, Carelles, Chailland, Champéon, Chantrigné, Charchigné, Chevaigné-du-Maine, Châtillon-sur-Colmont, Colombiers-du-Plessis, Commer, Contest, Couesmes-Vaucé, Couptrain, Désertines, Ernée, Fougerolles-du-Plessis, Gorron, Grazay, Hardanges, Hercé, Javron-les-Chapelles, Juvigné, La Baconnière, La Bazoge-Montpinçon, La Bazouge-des-Alleux, La Bigottière, La Brûlatte, La Chapelle-au-Riboul, La Croixille, La Dorée, La Gravelle, La Haie-Traversaine, La Pallu, La Pellerine, Landivy, Larchamp, Lassay-les-Châteaux, Launay-Villiers, Le Bourgneuf-la-Forêt, Le Genest-Saint-Isle, Le Ham, Le Horps, Le Housseau-Brétignolles, Le Pas, Le Ribay, Lesbois, Levaré, Lignières-Orgères, Loiron-Ruillé, Madré, Marcillé-la-Ville, Martigné-sur-Mayenne, Mayenne, Montaudin, Montenay, Montjean, Montreuil-Poulay, Moulay, Neuilly-le-Vendin, Oisseau, Olivet, Parigné-sur-Braye, Placé, Pontmain, Port-Brillet, Rennes-en-Grenouilles, Sacé, Saint-Aignan-de-Couptrain, Saint-Aubin-Fosse-Louvain, Saint-Baudelle, Saint-Berthevin-la-Tannière, Saint-Calais-du-Désert, Saint-Cyr-le-Gravelais, Saint-Denis-de-Gastines, Saint-Ellier-du-Maine, Saint-Fraimbault-de-Prières, Saint-Georges-Buttavent, Saint-Germain-d'Anxure, Saint-Germain-le-Guillaume, Saint-Hilaire-du-Maine, Saint-Julien-du-Terroux, Saint-Loup-du-Gast, Saint-Mars-sur-Colmont, Saint-Mars-sur-la-Futaie, Saint-Ouën-des-Toits, Saint-Pierre-des-Landes, Saint-Pierre-la-Cour, Sainte-Marie-du-Bois, Soucé, Thuboeuf, Vautorte et Vieuvy"
54,1,"Agincourt, Amance, Bouxières-aux-Chênes, Bouxières-aux-Dames, Brin-sur-Seille, Champenoux, Custines, Dommartemont, Dommartin-sous-Amance, Essey-lès-Nancy, Eulmont, Laneuvelotte, Lay-Saint-Christophe, Laître-sous-Amance, Malzéville, Mazerulles, Moncel-sur-Seille, Nancy (en partie), Pulnoy, Saint-Max, Saulxures-lès-Nancy, Seichamps, Sornéville et Velaine-sous-Amance"
54,2,"Heillecourt, Houdemont, Jarville-la-Malgrange, Laxou, Ludres, Nancy (en partie), Vandoeuvre-lès-Nancy et Villers-lès-Nancy"
54,3,"Allondrelle-la-Malmaison, Anderny, Anoux, Audun-le-Roman, Avillers, Avril, Baroches (Les), Baslieux, Bazailles, Bettainvillers, Beuveille, Beuvillers, Boismont, Bonvillers (Mont), Bréhain-la-Ville, Charency-Vezin, Chenières, Colmey, Cons-la-Grandville, Cosnes-et-Romain, Crusnes, Cutry, Domprix, Doncourt-lès-Longuyon, Epiez-sur-Chiers, Errouville, Fillières, Fresnois-la-Montagne, Gorcy, Grand-Failly, Han-Devant-Pierrepont, Haucourt-Moulaine, Herserange, Hussigny-Godbrange, Joeuf, Joppécourt, Joudreville, Laix, Landres, Lantéfontaine, Lexy, Longlaville, Longuyon, Longwy, Lubey, Mairy-Mainville, Malavillers, Mercy-le-Bas, Mercy-le-Haut, Mexy, Mont-Saint-Martin, Montigny-sur-Chiers, Morfontaine, Murville, Othe, Petit-Failly, Piennes, Pierrepont, Preutin-Higny, Réhon, Saint-Jean-lès-Longuyon, Saint-Pancré, Saint-Supplet, Sancy, Saulnes, Serrouville, Tellancourt, Thil, Tiercelet, Trieux, Tucquegnieux, Ugny, Val de Briey, Ville-Houdlémont, Ville-au-Montois, Villers-la-Chèvre, Villers-la-Montagne, Villers-le-Rond, Villerupt, Villette, Viviers-sur-Chiers et Xivry-Circourt"
54,4,"Amenoncourt, Ancerviller, Angomont, Anthelupt, Arracourt, Art-sur-Meurthe, Athienville, Autrepierre, Avricourt, Azelot, Azerailles, Baccarat, Badonviller, Barbas, Barbonville, Bathelémont, Bauzemont, Bayon, Bertrambois, Bertrichamps, Bezange-la-Grande, Bienville-la-Petite, Bionville, Blainville-sur-l'Eau, Blâmont, Blémerey, Bonviller, Borville, Brouville, Brémoncourt, Bréménil, Buissoncourt, Bures, Buriville, Burthecourt-aux-Chênes, Bénaménil, Cerville, Chanteheux, Charmois, Chazelles-sur-Albe, Chenevières, Cirey-sur-Vezouze, Clayeures, Coincourt, Courbesseaux, Coyviller, Crion, Croismare, Crévic, Damelevières, Deneuvre, Deuxville, Dombasle-sur-Meurthe, Domjevin, Domptail-en-l'Air, Domèvre-sur-Vezouze, Drouville, Einvaux, Einville-au-Jard, Emberménil, Erbéviller-sur-Amezule, Essey-la-Côte, Fenneviller, Ferrières, Flainval, Flavigny-sur-Moselle, Flin, Fléville-devant-Nancy, Fontenoy-la-Joûte, Fraimbois, Franconville, Froville, Frémonville, Fréménil, Gellenoncourt, Gerbéviller, Giriviller, Glonville, Gogney, Gondrexon, Gélacourt, Hablainville, Haigneville, Halloville, Haraucourt, Harbouey, Haudonville, Haussonville, Herbéviller, Hoéville, Hudiviller, Hénaménil, Hériménil, Igney, Jolivet, Juvrecourt, Lachapelle, Lamath, Landécourt, Laneuveville-aux-Bois, Laneuveville-devant-Nancy, Laronxe, Leintrey, Lenoncourt, Lorey, Loromontzey, Lunéville, Lupcourt, Magnières, Maixe, Manoncourt-en-Vermois, Manonviller, Marainviller, Mattexey, Merviller, Mignéville, Moncel-lès-Lunéville, Mont-sur-Meurthe, Montigny, Montreux, Moriviller, Mouacourt, Moyen, Méhoncourt, Neufmaisons, Neuviller-lès-Badonviller, Nonhigny, Ogéviller, Parroy, Parux, Petitmont, Pettonville, Pexonne, Pierre-Percée, Raon-lès-Leau, Raville-sur-Sânon, Rehainviller, Reherrey, Reillon, Remenoville, Remoncourt, Repaix, Richardménil, Romain, Rosières-aux-Salines, Rozelieures, Réchicourt-la-Petite, Réclonville, Réméréville, Saffais, Saint-Boingt, Saint-Clément, Saint-Germain, Saint-Mard, Saint-Martin, Saint-Maurice-aux-Forges, Saint-Nicolas-de-Port, Saint-Rémy-aux-Bois, Saint-Sauveur, Sainte-Pôle, Seranville, Serres, Sionviller, Sommerviller, Tanconville, Thiaville-sur-Meurthe, Thiébauménil, Tomblaine, Tonnoy, Vacqueville, Val-et-Châtillon, Valhey, Vallois, Varangéville, Vathiménil, Vaucourt, Vaxainville, Velle-sur-Moselle, Veney, Vennezey, Verdenal, Vigneulles, Villacourt, Ville-en-Vermois, Virecourt, Vitrimont, Vého, Xermaménil, Xousse et Xures"
54,5,"Aboncourt, Affracourt, Aingeray, Allain, Allamps, Andilly, Ansauville, Autrey-sur-Madon, Avrainville, Bagneux, Bainville-aux-Miroirs, Bainville-sur-Madon, Barisey-au-Plain, Barisey-la-Côte, Battigny, Beaumont, Benney, Bernécourt, Beuvezin, Bicqueley, Blénod-lès-Toul, Boucq, Bouillonville, Bouvron, Bouzanville, Bralleville, Bruley, Bulligny, Ceintrey, Chaligny, Chaouilley, Charey, Charmes-la-Côte, Chaudeney-sur-Moselle, Chavigny, Choloy-Ménillot, Clérey-sur-Brenon, Colombey-les-Belles, Courcelles, Crantenoy, Crépey, Crévéchamps, Crézilles, Diarville, Dolcourt, Domgermain, Dommarie-Eulmont, Dommartin-la-Chaussée, Dommartin-lès-Toul, Domèvre-en-Haye, Ecrouves, Essey-et-Maizerais, Etreval, Euvezin, Favières, Flirey, Fontenoy-sur-Moselle, Forcelles-Saint-Gorgon, Forcelles-sous-Gugney, Foug, Fraisnes-en-Saintois, Francheville, Frolois, Fécocourt, Gerbécourt-et-Haplemont, Germiny, Germonville, Gibeaumeix, Gondreville, Goviller, Grimonviller, Gripport, Griscourt, Grosrouvres, Gugney, Gye, Gélaucourt, Gémonville, Gézoncourt, Hammeville, Hamonville, Haroué, Houdelmont, Houdreville, Housséville, Jaillon, Jaulny, Jevoncourt, Lagney, Laloeuf, Laneuveville-derrière-Foug, Laneuveville-devant-Bayon, Lay-Saint-Remy, Lebeuville, Lemainville, Leménil-Mitry, Limey-Remenauville, Lironville, Liverdun, Lucey, Maizières, Mamey, Mandres-aux-Quatre-Tours, Mangonville, Manoncourt-en-Woëvre, Manonville, Maron, Marthemont, Martincourt, Messein, Minorville, Mont-l'Etroit, Mont-le-Vignoble, Moutrot, Ménil-la-Tour, Méréville, Neuves-Maisons, Neuviller-sur-Moselle, Noviant-aux-Prés, Ochey, Ognéville, Omelmont, Ormes-et-Ville, Pagney-derrière-Barine, Pannes, Parey-Saint-Césaire, Pierre-la-Treiche, Pierreville, Pont-Saint-Vincent, Praye, Pulligny, Pulney, Quevilloncourt, Rembercourt-sur-Mad, Rogéville, Rosières-en-Haye, Roville-devant-Bayon, Royaumeix, Saint-Baussant, Saint-Firmin, Saint-Remimont, Sanzey, Saulxerotte, Saulxures-lès-Vannes, Saxon-Sion, Seicheprey, Selaincourt, Sexey-aux-Forges, Sexey-les-Bois, Tantonville, They-sous-Vaudemont, Thiaucourt-Regniéville, Thorey-Lyautey, Thuilley-aux-Groseilles, Thélod, Toul, Tramont-Emy, Tramont-Lassus, Tramont-Saint-André, Tremblecourt, Trondes, Uruffe, Vandeléville, Vannes-le-Châtel, Vaudeville, Vaudigny, Vaudémont, Velaine-en-Haye, Vilcey-sur-Trey, Villers-en-Haye, Villey-Saint-Etienne, Villey-le-Sec, Viterne, Vitrey, Viéville-en-Haye, Voinémont, Vroncourt, Vézelise, Xammes, Xeuilley et Xirocourt"
54,6,"Abaucourt, Abbéville-lès-Conflans, Affléville, Allamont, Armaucourt, Arnaville, Arraye-et-Han, Atton, Auboué, Autreville-sur-Moselle, Batilly, Bayonville-sur-Mad, Belleau, Belleville, Bey-sur-Seille, Bezaumont, Blénod-lès-Pont-à-Mousson, Boncourt, Bouxières-sous-Froidmont, Brainville, Bratte, Bruville, Béchamps, Chambley-Bussières, Champey-sur-Moselle, Champigneulles, Chenicourt, Clémery, Conflans-en-Jarnisy, Dampvitoux, Dieulouard, Doncourt-lès-Conflans, Eply, Faulx, Fey-en-Haye, Fléville-Lixières, Friauville, Frouard, Giraumont, Gondrecourt-Aix, Hagéville, Hannonville-Suzémont, Hatrize, Homécourt, Jarny, Jeandelaincourt, Jeandelize, Jezainville, Jouaville, Labry, Landremont, Lanfroicourt, Lesménils, Leyr, Loisy, Létricourt, Maidières, Mailly-sur-Seille, Malleloy, Marbache, Mars-la-Tour, Maxéville, Millery, Moineville, Moivrons, Montauville, Montenoy, Morville-sur-Seille, Mouaville, Mousson, Moutiers, Nomeny, Norroy-le-Sec, Norroy-lès-Pont-à-Mousson, Olley, Onville, Ozerailles, Pagny-sur-Moselle, Phlin, Pompey, Pont-à-Mousson, Port-sur-Seille, Prény, Puxe, Puxieux, Raucourt, Rouves, Saint-Ail, Saint-Julien-lès-Gorze, Saint-Marcel, Sainte-Geneviève, Saizerais, Sivry, Sponville, Thumeréville, Thézey-Saint-Martin, Tronville, Valleroy, Vandelainville, Vandières, Ville-au-Val, Ville-sur-Yron, Villecey-sur-Mad, Villers-lès-Moivrons, Villers-sous-Prény, Vittonville, Waville et Xonville"
55,1,"Abainville, Amanty, Ancerville, Andernay, Apremont-la-Forêt, Aulnois-en-Perthois, Autrécourt-sur-Aire, Badonvilliers-Gérauvilliers, Bannoncourt, Bar-le-Duc, Baudignécourt, Baudonvilliers, Baudrémont, Bazincourt-sur-Saulx, Beaulieu-en-Argonne, Beausite, Behonne, Belrain, Beney-en-Woëvre, Beurey-sur-Saulx, Biencourt-sur-Orge, Bislée, Boncourt-sur-Meuse, Bonnet, Bouconville-sur-Madt, Bouquemont, Boviolles, Bovée-sur-Barboure, Brabant-le-Roi, Brauvilliers, Brillon-en-Barrois, Brixey-aux-Chanoines, Brizeaux, Broussey-Raulecourt, Broussey-en-Blois, Bure, Burey-en-Vaux, Burey-la-Côte, Buxières-sous-les-Côtes, Chaillon, Chalaines, Champougny, Chanteraine, Chardogne, Chassey-Beaupré, Chaumont-sur-Aire, Chauvoncourt, Chonville-Malaumont, Combles-en-Barrois, Commercy, Contrisson, Courcelles-en-Barrois, Courcelles-sur-Aire, Courouvre, Cousances-les-Forges, Cousances-lès-Triconville, Couvertpuis, Couvonges, Culey, Dagonville, Dainville-Bertheléville, Dammarie-sur-Saulx, Delouze-Rosières, Demange-aux-Eaux, Dompcevrin, Dompierre-aux-Bois, Epiez-sur-Meuse, Erize-Saint-Dizier, Erize-la-Brûlée, Erize-la-Petite, Erneville-aux-Bois, Euville, Evres, Fains-Véel, Foucaucourt-sur-Thabas, Fouchères-aux-Bois, Fresnes-au-Mont, Frémeréville-sous-les-Côtes, Geville, Gimécourt, Girauvoisin, Givrauval, Gondrecourt-le-Château, Goussaincourt, Grimaucourt-près-Sampigny, Guerpont, Géry, Haironville, Han-sur-Meuse, Heudicourt-sous-les-Côtes, Horville-en-Ornois, Houdelaincourt, Hévilliers, Ippécourt, Jonville-en-Woëvre, Juvigny-en-Perthois, Koeur-la-Grande, Koeur-la-Petite, Lachaussée, Lacroix-sur-Meuse, Lahaymeix, Lahayville, Laheycourt, Laimont, Lamorville, Laneuville-au-Rupt, Lavallée, Lavincourt, Lavoye, Le Bouchon-sur-Saulx, Les Hauts-de-Chée, Les Paroches, Les Roises, Les Trois-Domaines, Levoncourt, Lignières-sur-Aire, Ligny-en-Barrois, Lisle-en-Barrois, Lisle-en-Rigault, Loisey, Longchamps-sur-Aire, Longeaux, Longeville-en-Barrois, Loupmont, Louppy-le-Château, Lérouville, Maizey, Mandres-en-Barrois, Marson-sur-Barboure, Maulan, Mauvages, Maxey-sur-Vaise, Menaucourt, Mognéville, Montbras, Montiers-sur-Saulx, Montigny-lès-Vaucouleurs, Montplonne, Montsec, Morley, Mécrin, Méligny-le-Grand, Méligny-le-Petit, Ménil-aux-Bois, Ménil-la-Horgne, Ménil-sur-Saulx, Naives-Rosières, Naives-en-Blois, Naix-aux-Forges, Nant-le-Grand, Nant-le-Petit, Nantois, Nançois-le-Grand, Nançois-sur-Ornain, Nettancourt, Neuville-en-Verdunois, Neuville-lès-Vaucouleurs, Neuville-sur-Ornain, Nicey-sur-Aire, Nonsard-Lamarche, Noyers-Auzécourt, Nubécourt, Ourches-sur-Meuse, Pagny-la-Blanche-Côte, Pagny-sur-Meuse, Pierrefitte-sur-Aire, Pont-sur-Meuse, Pretz-en-Argonne, Raival, Rambucourt, Rancourt-sur-Ornain, Ranzières, Reffroy, Rembercourt-Sommaisne, Remennecourt, Resson, Revigny-sur-Ornain, Ribeaucourt, Richecourt, Rigny-Saint-Martin, Rigny-la-Salle, Robert-Espagne, Rouvrois-sur-Meuse, Rumont, Rupt-aux-Nonains, Rupt-devant-Saint-Mihiel, Saint-Amand-sur-Ornain, Saint-Aubin-sur-Aire, Saint-Germain-sur-Meuse, Saint-Joire, Saint-Julien-sous-les-Côtes, Saint-Maurice-sous-les-Côtes, Saint-Mihiel, Salmagne, Sampigny, Saudrupt, Saulvaux, Sauvigny, Sauvoy, Savonnières-devant-Bar, Savonnières-en-Perthois, Seigneulles, Sepvigny, Seuil-d'Argonne, Seuzey, Silmont, Sommeilles, Sommelonne, Sorcy-Saint-Martin, Stainville, Taillancourt, Tannois, Thillombois, Tronville-en-Barrois, Troussey, Troyon, Trémont-sur-Saulx, Tréveray, Ugny-sur-Meuse, Vadonville, Val-d'Ornain, Valbois, Varnéville, Vassincourt, Vaubecourt, Vaucouleurs, Vaudeville-le-Haut, Vaux-lès-Palameix, Vavincourt, Velaines, Vigneulles-lès-Hattonchâtel, Vignot, Ville-devant-Belrain, Ville-sur-Saulx, Villeroy-sur-Méholle, Villers-aux-Vents, Villers-le-Sec, Villotte-devant-Louppy, Villotte-sur-Aire, Void-Vacon, Vouthon-Bas, Vouthon-Haut, Waly, Willeroncourt, Woimbey et Xivray-et-Marvoisin"
55,2,"Abaucourt-Hautecourt, Aincreville, Ambly-sur-Meuse, Amel-sur-l'Etang, Ancemont, Arrancy-sur-Crusne, Aubréville, Autréville-Saint-Lambert, Avillers-Sainte-Croix, Avioth, Avocourt, Azannes-et-Soumazannes, Bantheville, Baulny, Bazeilles-sur-Othain, Baâlon, Beauclair, Beaufort-en-Argonne, Belleray, Belleville-sur-Meuse, Belrupt-en-Verdunois, Billy-sous-Mangiennes, Blanzée, Boinville-en-Woëvre, Bonzée, Bouligny, Boureuilles, Brabant-en-Argonne, Brabant-sur-Meuse, Brandeville, Braquis, Bras-sur-Meuse, Breux, Brieulles-sur-Meuse, Brocourt-en-Argonne, Brouennes, Bréhéville, Buzy-Darmont, Béthelainville, Béthincourt, Cesse, Champneuville, Charny-sur-Meuse, Charpentry, Chattancourt, Chaumont-devant-Damvillers, Chauvency-Saint-Hubert, Chauvency-le-Château, Cheppy, Châtillon-sous-les-Côtes, Cierges-sous-Montfaucon, Clermont-en-Argonne, Cléry-Grand, Cléry-Petit, Combres-sous-les-Côtes, Consenvoye, Cuisy, Cunel, Damloup, Damvillers, Dannevoux, Delut, Dieppe-sous-Douaumont, Dieue-sur-Meuse, Dombasle-en-Argonne, Dombras, Dommartin-la-Montagne, Dommary-Baroncourt, Domremy-la-Canne, Doncourt-aux-Templiers, Douaumont, Doulcon, Dugny-sur-Meuse, Dun-sur-Meuse, Duzey, Ecouviez, Ecurey-en-Verdunois, Eix, Epinonville, Esnes-en-Argonne, Etain, Eton, Etraye, Flassigny, Foameix-Ornel, Fontaines-Saint-Clair, Forges-sur-Meuse, Fresnes-en-Woëvre, Froidos, Fromeréville-les-Vallons, Fromezey, Futeau, Gercourt-et-Drillancourt, Gesnes-en-Argonne, Gincrey, Gouraincourt, Gremilly, Grimaucourt-en-Woëvre, Gussainville, Génicourt-sur-Meuse, Halles-sous-les-Côtes, Han-lès-Juvigny, Hannonville-sous-les-Côtes, Harville, Haudainville, Haudiomont, Heippes, Hennemont, Herbeuville, Herméville-en-Woëvre, Inor, Iré-le-Sec, Jametz, Jouy-en-Argonne, Julvécourt, Juvigny-sur-Loison, Labeuville, Lachalade, Lamouilly, Landrecourt-Lempire, Laneuville-sur-Meuse, Lanhères, Latour-en-Woëvre, Le Claon, Le Neufour, Lemmes, Les Eparges, Les Islettes, Les Monthairons, Les Souhesmes-Rampont, Liny-devant-Dun, Lion-devant-Dun, Lissey, Loison, Louppy-sur-Loison, Luzy-Saint-Martin, Maizeray, Malancourt, Mangiennes, Manheulles, Marchéville-en-Woëvre, Marre, Martincourt-sur-Meuse, Marville, Maucourt-sur-Orne, Merles-sur-Loison, Milly-sur-Bradon, Mogeville, Moirey-Flabas-Crépion, Mont-devant-Sassey, Montblainville, Montfaucon-d'Argonne, Montigny-devant-Sassey, Montmédy, Montzéville, Moranville, Morgemoulin, Mouilly, Moulainville, Moulins-Saint-Hubert, Moulotte, Mouzay, Murvaux, Muzeray, Nantillois, Nepvant, Neuvilly-en-Argonne, Nixéville-Blercourt, Nouillonpont, Olizy-sur-Chiers, Ornes, Osches, Pareid, Parfondrupt, Peuvillers, Pillon, Pintheville, Pouilly-sur-Meuse, Quincy-Landzécourt, Rambluzin-et-Benoite-Vaux, Rarécourt, Regnéville-sur-Meuse, Remoiville, Riaville, Romagne-sous-Montfaucon, Romagne-sous-les-Côtes, Ronvaux, Rouvres-en-Woëvre, Rouvrois-sur-Othain, Rupt-en-Woëvre, Rupt-sur-Othain, Récicourt, Récourt-le-Creux, Réville-aux-Bois, Saint-André-en-Barrois, Saint-Hilaire-en-Woëvre, Saint-Jean-lès-Buzy, Saint-Laurent-sur-Othain, Saint-Pierrevillers, Saint-Remy-la-Calonne, Samogneux, Sassey-sur-Meuse, Saulmory-et-Villefranche, Saulx-lès-Champlon, Senon, Senoncourt-les-Maujouy, Septsarges, Sivry-la-Perche, Sivry-sur-Meuse, Sommedieue, Sorbey, Souilly, Spincourt, Stenay, Thierville-sur-Meuse, Thillot, Thonne-la-Long, Thonne-le-Thil, Thonne-les-Près, Thonnelle, Tilly-sur-Meuse, Trésauvaux, Vacherauville, Vadelaincourt, Varennes-en-Argonne, Vaudoncourt, Vauquois, Vaux-devant-Damloup, Velosnes, Verdun, Verneuil-Grand, Verneuil-Petit, Vigneul-sous-Montmédy, Ville-devant-Chaumont, Ville-en-Woëvre, Ville-sur-Cousances, Villers-devant-Dun, Villers-lès-Mangiennes, Villers-sous-Pareid, Villers-sur-Meuse, Villécloye, Vilosnes-Haraumont, Vittarville, Véry, Warcq, Watronville, Wavrille, Wiseppe et Woël"
56,1,"Ambon, Arradon, Arzal, Arzon, Baden, Billiers, Damgan, Ile-aux-Moines, Ile-d'Arz, La Trinité-Surzur, Larmor-Baden, Le Guerno, Le Hézo, Le Tour-du-Parc, Muzillac, Noyal-Muzillac, Ploeren, Saint-Armel, Saint-Avé, Saint-Gildas-de-Rhuys, Sarzeau, Surzur, Séné, Theix-Noyalo et Vannes"
56,2,"Auray, Bangor, Belz, Brech, Camors, Carnac, Crach, Erdeven, Etel, Gâvres, Hoedic, Ile- d'Houat, Kervignac, La Trinité-sur-Mer, Landaul, Landévant, Le Bono, Le Palais, Locmaria, Locmariaquer, Locmiquélic, Locoal-Mendon, Merlevenez, Nostang, Ploemel, Plougoumelen, Plouharnel, Plouhinec, Plumergat, Pluneret, Pluvigner, Port-Louis, Quiberon, Riantec, Saint-Philibert, Saint-Pierre-Quiberon, Sainte-Anne-d'Auray, Sainte-Hélène et Sauzon"
